,url,theme,article_length,neg,neu,pos,compound,mean_sentence_compound,alpha_30,alpha_50,alpha_150,alpha_300,alpha_400
24,https://www.theguardian.com/books/2018/aug/18/miriam-toews-interview-women-talking-mennonite,books,1953,0.126,0.77,0.104,-0.996,-0.0479452055,-0.9920476192,-0.9868502359,-0.9620355411,-0.9280906752,-0.9073602535
25,https://www.theguardian.com/books/2018/jan/12/jim-crace-books-that-made-me,books,371,0.056,0.764,0.179,0.9949,0.3221875,0.9898772425,0.9832970607,0.952257603,0.9107591714,0.8859293454
26,https://www.theguardian.com/books/2018/aug/27/melissa-harrison-escape-to-country-at-hawthorn-time,books,1105,0.033,0.873,0.094,0.9965,0.3116666667,0.9930364946,0.9884741704,0.9665697374,0.936282618,0.9176044965
27,https://www.theguardian.com/books/2018/sep/07/john-steinbeck-a-sadistic-womaniser-says-wife-in-memoir,books,741,0.065,0.845,0.089,0.9651,0.0170962963,0.9336162249,0.8960633363,0.7589014088,0.635945496,0.5808934082
20,https://www.theguardian.com/books/2018/sep/20/man-booker-2018-shortlist-daisy-johnson-anna-burns-rachel-kushner-richard-powers-esi-edugyan-robin-robertson,books,899,0.06,0.826,0.114,0.9941,0.1978,0.9883032127,0.9807295919,0.9453110931,0.898713436,0.8712224335
21,https://www.theguardian.com/books/2018/sep/20/jack-kerouac-letter-to-mother-recounts-on-the-road-adventures,books,573,0.02,0.892,0.089,0.9928,0.2652,0.9857533136,0.9765869845,0.9343059912,0.8800619466,0.8487425103
22,https://www.theguardian.com/books/2018/may/22/olga-tokarczuk-flights-wins-man-booker-international-prize-polish,books,760,0.033,0.817,0.15,0.9983,0.4453157895,0.9966086406,0.9943668098,0.9833802515,0.9675625279,0.9574318028
23,https://www.theguardian.com/books/2018/aug/24/olga-tokarczuk-reading-freud-was-my-first-step-to-becoming-a-writer,books,540,0.059,0.78,0.161,0.9962,0.3383352941,0.9924429934,0.987499142,0.9638423685,0.9313430504,0.9114184699
28,https://www.theguardian.com/books/2018/sep/06/jd-salinger-teenage-lover-challenges-her-predator-reputation-joyce-maynard,books,545,0.042,0.905,0.053,-0.0798,0.0761833333,-0.0565171688,-0.0438060046,-0.0253076019,-0.0178980429,-0.0155007806
29,https://www.theguardian.com/books/2018/jul/21/emily-bronte-strange-cult-wuthering-heights-romantic-novel,books,2885,0.084,0.807,0.109,0.998,0.1226272727,0.9960119522,0.9933796094,0.9805239574,0.962143264,0.9504486042
1,https://www.theguardian.com/books/2018/sep/21/how-to-write-a-great-sentence,books,1937,0.085,0.785,0.13,0.9955,0.0743074074,0.9910602083,0.9852318494,0.9575578703,0.9200981884,0.8974369376
3,https://www.theguardian.com/books/2018/sep/21/human-instinct-why-we-are-unique,books,2505,0.056,0.843,0.101,0.9991,0.1480844156,0.9982024256,0.9970094142,0.9911078626,0.9824487935,0.9768005968
2,https://www.theguardian.com/books/2018/sep/21/batmans-genitals-dc-withdraws-nude-scene-damned,books,527,0.092,0.856,0.052,-0.9691,-0.2682166667,-0.9408980919,-0.9068612498,-0.7790014957,-0.6599914544,-0.6054872954
5,https://www.theguardian.com/books/2018/sep/19/not-the-booker-the-ruin-by-dervla-mctiernan-review-thriller-lost-in-plot,books,735,0.132,0.774,0.094,-0.9905,-0.1301633333,-0.9812657055,-0.9693457279,-0.9156441101,-0.8495700186,-0.8127183078
4,https://www.theguardian.com/books/2018/sep/21/patrick-dewitt-coudnt-finish-magic-mountain,books,475,0.073,0.797,0.13,0.9815,0.1945409091,0.9639901682,0.9420380366,0.8510941123,0.7535528625,0.7045157553
7,https://www.theguardian.com/books/2018/sep/17/dominick-donald-followed-killer-john-christie-londons-great-smog-breathe,books,951,0.121,0.81,0.069,-0.9962,-0.1482137931,-0.9924429934,-0.987499142,-0.9638423685,-0.9313430504,-0.9114184699
6,https://www.theguardian.com/books/2018/sep/08/on-kiplings-trail-how-i-wrote-myself-into-the-dark-world-of-the-jungle-book,books,1811,0.065,0.774,0.161,0.9997,0.3057066667,0.9994002698,0.9990010487,0.9970120944,0.9940508124,0.992091221
9,https://www.theguardian.com/books/2018/sep/15/sarah-waters-some-of-my-readers-really-did-hate-me-they-felt-let-down,books,2016,0.11,0.776,0.113,0.4401,0.0431526316,0.3274575334,0.259268644,0.1531599719,0.1089412244,0.0944861444
8,https://www.theguardian.com/books/2018/sep/16/francis-fukuyama-interview-trump-picks-racial-themes-to-drive-people-on-the-left-crazy,books,2611,0.075,0.825,0.1,0.9975,0.0633793103,0.9950186567,0.9917388221,0.9758126594,0.9532995656,0.9391286062
11,https://www.theguardian.com/books/2018/sep/20/from-arabic-to-algae-like-ai-the-alarming-rise-of-the-algorithm-,books,171,0.009,0.908,0.083,0.9239,0.36648,0.8628895578,0.7976458733,0.6068736958,0.4750918525,0.4235656251
10,https://www.theguardian.com/books/2018/sep/14/regency-rendezvous-inside-the-world-of-jane-austen-fandom,books,957,0.048,0.778,0.174,0.9992,0.4572121212,0.9984019169,0.9973407749,0.9920853537,0.9843557057,0.9793018638
13,https://www.theguardian.com/books/2018/sep/14/joe-moran-pleasures-of-slow-reading,books,1321,0.051,0.855,0.094,0.9971,0.1062071429,0.9942250845,0.9904302639,0.9720871194,0.9463882962,0.9303464497
12,https://www.theguardian.com/books/2018/sep/20/jokes-about-snowflakes-ignore-the-crisis-in-young-mental-health,books,866,0.224,0.662,0.114,-0.9991,-0.19764,-0.9982024256,-0.9970094142,-0.9911078626,-0.9824487935,-0.9768005968
15,https://www.theguardian.com/books/2018/sep/10/should-we-stop-reading-authors-lives-books-vs-naipaul,books,1267,0.129,0.741,0.13,-0.3735,-0.0031372093,-0.2738268507,-0.2153595332,-0.1263058942,-0.0896701011,-0.0777347553
