,url,theme,article_length,neg,neu,pos,compound,mean_sentence_compound,alpha_30,alpha_50,alpha_150,alpha_300,alpha_400
24,https://www.theguardian.com/politics/2018/aug/02/ukip-membership-surges-15-per-cent-in-a-month,politics,870,0.056,0.783,0.161,0.9986,0.2486931034,0.9972058636,0.9953560657,0.9862590454,0.9730693981,0.964564715
25,https://www.theguardian.com/politics/2018/jun/29/ukips-new-guard-web-agitators-threaten-to-swamp-struggling-party,politics,832,0.085,0.749,0.166,0.9976,0.2715037037,0.9952171975,0.9920665262,0.9767500504,0.9550498513,0.9413615959
26,https://www.theguardian.com/politics/2018/jun/25/ukip-welcomes-social-media-activists-linked-to-alt-right-into-party,politics,528,0.069,0.81,0.121,0.9855,0.1641411765,0.971612994,0.9539784995,0.8782641995,0.792338456,0.7473339552
27,https://www.theguardian.com/politics/2018/jun/11/nigel-farage-wary-new-ukip-leader-gerard-batten-hard-right-stance,politics,661,0.094,0.794,0.112,0.9123,-0.0217357143,0.8442487281,0.773435515,0.5759099714,0.4458758159,0.3961087934
20,https://www.theguardian.com/politics/2018/aug/31/peoples-vote-seeks-to-sway-eu-newspapers-with-blind-brexit-poll,politics,742,0.118,0.813,0.069,-0.9851,-0.2180789474,-0.9708467792,-0.9527706199,-0.8754449401,-0.7882107126,-0.7427225507
21,https://www.theguardian.com/politics/2018/sep/20/disaffected-members-could-leave-ukip-if-gerard-batten-stays-leader-say-insiders,politics,773,0.104,0.779,0.117,0.9128,0.0065769231,0.845041691,0.7744522478,0.5771708937,0.4470468787,0.3972037835
22,https://www.theguardian.com/politics/2018/feb/18/ukip-gerard-batten-islam-muslims-quran,politics,708,0.128,0.771,0.101,-0.9824,-0.1718178571,-0.9656977248,-0.9446981192,-0.8570154704,-0.761821782,-0.7135503248
23,https://www.theguardian.com/politics/2018/sep/18/ukip-did-not-break-donation-rules-watchdog-finds,politics,479,0.033,0.852,0.115,0.9902,0.2769307692,0.9806825858,0.9684093732,0.9132822597,0.8458074011,0.8083328222
28,https://www.theguardian.com/politics/2018/may/01/ukip-leader-gerard-batten-plans-to-move-party-towards-hard-right,politics,549,0.05,0.854,0.096,0.9692,0.0306294118,0.9410811595,0.9071344773,0.7795213438,0.660624006,0.6061386405
29,https://www.theguardian.com/politics/2018/sep/15/almost-half-of-voters-say-they-would-vote-for-new-party-in-election,politics,476,0.065,0.846,0.089,0.8591,0.1073235294,0.7647564148,0.6768113449,0.468850205,0.3514003699,0.3091305677
1,https://www.theguardian.com/politics/2018/sep/21/theresa-may-demands-respect-from-eu-in-brexit-negotiations,politics,1191,0.103,0.781,0.117,0.9823,-0.0003769231,0.9655077803,0.9444018034,0.8563522424,0.7608906856,0.7125305318
3,https://www.theguardian.com/politics/2018/sep/21/britons-living-in-eu-rights-theresa-may-brexit-speech,politics,546,0.049,0.845,0.106,0.9868,0.2878923077,0.9741092892,0.9579257827,0.8875939057,0.8061786295,0.7628946652
2,https://www.theguardian.com/politics/2018/sep/21/article-50-european-court-of-justice,politics,537,0.051,0.862,0.087,0.9463,0.1589714286,0.9004151081,0.8484790054,0.6792905782,0.5476432813,0.4931197911
5,https://www.theguardian.com/politics/2018/sep/21/ukip-faces-utter-marginalisation-if-it-embraces-hard-right-says-nigel-farage,politics,808,0.086,0.833,0.082,-0.9099,-0.0968923077,-0.8404553937,-0.7685874625,-0.5699425428,-0.440354274,-0.3909519864
4,https://www.theguardian.com/politics/2018/sep/21/what-the-eu-salzburg-summit-fallout-means-for-brexit-camps,politics,861,0.146,0.771,0.083,-0.9951,-0.2261428571,-0.9902713312,-0.9839411117,-0.9540156298,-0.9138423764,-0.8897181817
7,https://www.theguardian.com/politics/2018/sep/21/former-tory-mep-leader-criticises-partys-stance-on-supporting-hungary,politics,940,0.069,0.81,0.121,0.9956,0.1705766667,0.9912575735,0.9855550845,0.9584489402,0.9216811228,0.8993967392
6,https://www.theguardian.com/politics/2018/sep/20/labours-annual-conference-to-focus-on-austerity-and-brexit,politics,445,0.036,0.873,0.091,0.9756,0.28585,0.9529031284,0.9249668641,0.8147440156,0.7048337879,0.6522503153
