,url,theme,article_length,neg,neu,pos,compound,mean_sentence_compound,alpha_30,alpha_50,alpha_150,alpha_300,alpha_400
24,https://www.theguardian.com/sport/2018/sep/18/surrey-worcestershire-county-championship-the-spin,sport,931,0.038,0.822,0.14,0.9989,0.4091333333,0.997803622,0.9963473848,0.9891606429,0.9786662881,0.9718528156
25,https://www.theguardian.com/sport/2018/sep/13/cvc-premiership-bid-pave-way-for-change,sport,1007,0.061,0.821,0.118,0.9965,0.1750818182,0.9930364946,0.9884741704,0.9665697374,0.936282618,0.9176044965
26,https://www.theguardian.com/sport/blog/2018/sep/18/england-pro-contracts-change-womens-rugby-union-for-ever,sport,704,0.033,0.859,0.109,0.9939,0.2812333333,0.9879102852,0.9800898978,0.9435955106,0.8957715353,0.8676533916
27,https://www.theguardian.com/sport/2018/sep/17/sub-two-hour-marathon-not-fanciful-eliud-kipchoge,sport,916,0.028,0.889,0.083,0.9922,0.2278862069,0.9845797182,0.9746872076,0.9293405905,0.871813162,0.8389101396
20,https://www.theguardian.com/sport/2018/sep/21/how-alex-cora-moved-past-tragedy-to-lead-the-red-sox-to-the-al-east-title,sport,1115,0.062,0.832,0.106,0.9913,0.2630666667,0.9828231893,0.9718518207,0.9220223413,0.859837072,0.8247506936
21,https://www.theguardian.com/sport/2018/sep/21/josh-gordon-may-turn-out-to-be-bill-belichicks-greatest-ever-trade,sport,1204,0.082,0.834,0.084,0.919,-0.1039571429,0.8549525268,0.7872575197,0.5933416332,0.4622036525,0.4114173498
22,https://www.theguardian.com/sport/blog/2018/sep/21/talking-horses-trainers-warned-of-product-containing-anabolic-steroids,sport,709,0.031,0.808,0.161,0.9986,0.3476083333,0.9972058636,0.9953560657,0.9862590454,0.9730693981,0.964564715
23,https://www.theguardian.com/sport/blog/2018/sep/20/england-danny-cipriani-baffling-decision-eddie-jones,sport,854,0.076,0.789,0.135,0.9961,0.1997,0.992245277,0.9871745778,0.9629378195,0.9297128411,0.909382876
28,https://www.theguardian.com/sport/2018/sep/17/ecb-hundred-format-success-twist-t20-road-test-trent-bridge,sport,847,0.041,0.869,0.09,0.9915,0.1931478261,0.9832131293,0.9724804337,0.9236353849,0.8624585387,0.827838526
29,https://www.theguardian.com/sport/blog/2018/sep/18/red-card-muddle-misjudged-tackles-rugby,sport,1195,0.095,0.802,0.103,0.8863,-0.0033309524,0.8042423539,0.7235559176,0.5177598305,0.3934267119,0.3475074606
