,url,theme,article_length,neg,neu,pos,compound,mean_sentence_compound,alpha_30,alpha_50,alpha_150,alpha_300,alpha_400
24,https://www.theguardian.com/world/2018/sep/17/cristina-fernandez-indicted-argentina-president-corruption,world,485,0.095,0.841,0.064,-0.9139,-0.1076166667,-0.8467894899,-0.7766973146,-0.5799669216,-0.4496491328,-0.3996386168
25,https://www.theguardian.com/world/2018/sep/17/berta-caceres-trial-postponed-judges-accused,world,493,0.206,0.714,0.079,-0.9962,-0.5929117647,-0.9924429934,-0.987499142,-0.9638423685,-0.9313430504,-0.9114184699
26,https://www.theguardian.com/world/2018/sep/17/canada-doug-ford-election-notwithstanding-clause,world,583,0.038,0.897,0.066,0.9512,0.0505,0.9089111773,0.8604088173,0.6980230177,0.5675239223,0.5125589976
27,https://www.theguardian.com/world/2018/sep/17/mexico-jalisco-trailer-full-of-corpses,world,485,0.144,0.824,0.033,-0.9963,-0.4745428571,-0.9926407684,-0.9878239286,-0.964749198,-0.9329813707,-0.9134671758
20,https://www.theguardian.com/world/2018/sep/18/martin-vizcarra-peru-anti-corruption-measure-reform,world,534,0.159,0.779,0.062,-0.9964,-0.3387692308,-0.9928386021,-0.988148938,-0.9656583176,-0.9346278702,-0.9155291364
21,https://www.theguardian.com/world/2018/sep/18/fire-whirl-sucked-up-crews-hose-in-british-columbia-blazes-video-shows,world,354,0.143,0.824,0.032,-0.9901,-0.3989846154,-0.9804883258,-0.9680976687,-0.9124985544,-0.8445635094,-0.8068858206
22,https://www.theguardian.com/world/2018/sep/18/venezuela-nicolas-maduro-salt-bae-istanbul,world,631,0.127,0.818,0.055,-0.9937,-0.1933,-0.9875175891,-0.9794510686,-0.9418882073,-0.8928565868,-0.8641257401
23,https://www.theguardian.com/world/2018/sep/18/fernando-haddad-lula-brazil-election,world,1219,0.097,0.79,0.112,0.9474,0.0501431818,0.9023130337,0.8511298424,0.6833891541,0.5519502593,0.4973163372
28,https://www.theguardian.com/world/2018/sep/21/india-and-pakistan-meeting-at-un-to-end-three-year-freeze,world,424,0.056,0.86,0.083,0.9224,-0.0159083333,0.8604499176,0.7944399019,0.6026564919,0.4710547066,0.4197539788
29,https://www.theguardian.com/world/2018/sep/21/kim-jong-un-all-fingers-and-thumbs-in-bid-for-instagram-diplomacy,world,503,0.01,0.854,0.136,0.997,0.4354846154,0.994026839,0.9901036875,0.971161688,0.9446825598,0.9281875212
1,https://www.theguardian.com/world/2018/sep/21/julian-assange-russia-ecuador-embassy-london-secret-escape-plan,world,1046,0.088,0.854,0.057,-0.9857,-0.1123405405,-0.9719964318,-0.9545836111,-0.8796827823,-0.7944248816,-0.749669958
3,https://www.theguardian.com/world/2018/sep/21/german-army-rocket-test-wildfire-disaster,world,121,0.117,0.848,0.035,-0.9123,-0.36508,-0.8442487281,-0.773435515,-0.5759099714,-0.4458758159,-0.3961087934
2,https://www.theguardian.com/world/2018/sep/21/tanzanias-president-orders-arrests-as-ferry-death-toll-climbs,world,665,0.095,0.846,0.06,-0.9809,-0.223465,-0.9628542205,-0.9402730521,-0.8472052113,-0.7481753479,-0.6986667123
5,https://www.theguardian.com/world/2018/sep/21/voulez-vous-return-your-pebbles-to-our-mamma-mia-beach,world,580,0.105,0.799,0.096,-0.5189,-0.0474541667,-0.3944276982,-0.3154966098,-0.1885141923,-0.1344999712,-0.1167446835
4,https://www.theguardian.com/world/2018/sep/21/judge-rules-banned-kenyan-gay-film-rafiki-can-be-screened-for-seven-days,world,403,0.107,0.748,0.145,0.9585,0.0662727273,0.9217719412,0.8787854599,0.7284183882,0.6009106483,0.5456134722
7,https://www.theguardian.com/world/2018/sep/21/what-is-behind-the-decline-in-ufo-sightings,world,719,0.058,0.874,0.068,0.7236,0.0187130435,0.5955196453,0.4979571838,0.3146792726,0.2282336688,0.198955867
6,https://www.theguardian.com/world/2018/sep/21/brazilian-women-against-jair-bolosonaro-misogynist-far-right-candidate,world,733,0.106,0.804,0.09,-0.8985,-0.2454166667,-0.8227215657,-0.7462593482,-0.5433711905,-0.4161659514,-0.3684757872
9,https://www.theguardian.com/world/2018/sep/21/bali-to-bring-in-new-rules-for-visiting-temples-after-decline-in-quality-of-tourists,world,346,0.046,0.89,0.064,0.6705,0.0371,0.5384839157,0.4436278294,0.274788903,0.1980802801,0.1723901211
8,https://www.theguardian.com/world/2018/sep/19/north-korea-offer-to-close-missile-sites-only-small-step,world,576,0.066,0.881,0.053,-0.8225,-0.0420666667,-0.7149488291,-0.6208973032,-0.4158793553,-0.3076754297,-0.2696647936
11,https://www.theguardian.com/world/2018/sep/21/climbdowns-cheese-and-a-crowdfunded-dam-imran-khans-wobbly-start-as-pakistan-pm,world,862,0.075,0.819,0.106,0.9839,0.1222862069,0.968553402,0.9491655981,0.8671273589,0.776175468,0.7293525509
10,https://www.theguardian.com/world/2018/sep/20/people-feared-drowned-in-tanzania-ferry-disaster,world,642,0.099,0.846,0.055,-0.9881,-0.220552381,-0.9766149634,-0.9619066101,-0.8971887809,-0.8207112371,-0.7794021736
13,https://www.theguardian.com/world/2018/sep/20/buying-zoo-goes-horribly-wrong-escaped-animals-deaths,world,2008,0.088,0.83,0.082,-0.9749,-0.0378309859,-0.951599857,-0.9229825598,-0.8106929869,-0.6996075513,-0.6467368086
